season,age_group,division,geography,date,home_team,home_goals,away_goals,away_team,notes
Spring 2026,Over 30,1,North,2026-04-05,Loco Gunners,4,0,Massachusetts United,
Spring 2026,Over 30,1,North,2026-04-05,Meadowlark FC,6,1,Cantona,
Spring 2026,Over 30,1,North,2026-04-12,Massachusetts United,,,CDF Azzurri,scheduled
Spring 2026,Over 30,1,North,2026-04-12,Eastern FC,,,Loco Gunners,scheduled
Spring 2026,Over 30,1,North,2026-04-12,Cantona,,,Newburyport FC,scheduled
Spring 2026,Over 30,1,North,2026-04-12,Kendall Wanderers,,,Meadowlark FC,scheduled
Spring 2026,Over 30,1,North,2026-04-19,CDF Azzurri,,,Loco Gunners,scheduled
Spring 2026,Over 30,1,North,2026-04-19,Massachusetts United,,,Eastern FC,scheduled
Spring 2026,Over 30,1,North,2026-04-19,Kendall Wanderers,,,Cantona,scheduled
Spring 2026,Over 30,1,North,2026-04-19,Meadowlark FC,,,Newburyport FC,scheduled
Spring 2026,Over 30,1,North,2026-04-26,Eastern FC,,,Meadowlark FC,scheduled
Spring 2026,Over 30,1,North,2026-04-26,Loco Gunners,,,Kendall Wanderers,scheduled
Spring 2026,Over 30,1,North,2026-04-26,Newburyport FC,,,Massachusetts United,scheduled
Spring 2026,Over 30,1,North,2026-04-26,Cantona,,,CDF Azzurri,scheduled
Spring 2026,Over 30,1,North,2026-05-03,Newburyport FC,,,Loco Gunners,scheduled
Spring 2026,Over 30,1,North,2026-05-03,Kendall Wanderers,,,Massachusetts United,scheduled
Spring 2026,Over 30,1,North,2026-05-03,Meadowlark FC,,,CDF Azzurri,scheduled
Spring 2026,Over 30,1,North,2026-05-03,Cantona,,,Eastern FC,scheduled
Spring 2026,Over 30,1,North,2026-05-10,CDF Azzurri,,,Kendall Wanderers,scheduled
Spring 2026,Over 30,1,North,2026-05-10,Eastern FC,,,Newburyport FC,scheduled
Spring 2026,Over 30,1,North,2026-05-10,Loco Gunners,,,Cantona,scheduled
Spring 2026,Over 30,1,North,2026-05-10,Massachusetts United,,,Meadowlark FC,scheduled
Spring 2026,Over 30,1,North,2026-05-17,CDF Azzurri,,,Newburyport FC,scheduled
Spring 2026,Over 30,1,North,2026-05-17,Massachusetts United,,,Cantona,scheduled
Spring 2026,Over 30,1,North,2026-05-17,Kendall Wanderers,,,Eastern FC,scheduled
Spring 2026,Over 30,1,North,2026-05-17,Meadowlark FC,,,Loco Gunners,scheduled
Spring 2026,Over 30,1,North,2026-05-31,Loco Gunners,,,CDF Azzurri,scheduled
Spring 2026,Over 30,1,North,2026-05-31,Eastern FC,,,Massachusetts United,scheduled
Spring 2026,Over 30,1,North,2026-05-31,Cantona,,,Kendall Wanderers,scheduled
Spring 2026,Over 30,1,North,2026-05-31,Newburyport FC,,,Meadowlark FC,scheduled
Spring 2026,Over 30,1,North,2026-06-07,Eastern FC,,,CDF Azzurri,scheduled
Spring 2026,Over 30,1,North,2026-06-07,Massachusetts United,,,Loco Gunners,scheduled
Spring 2026,Over 30,1,North,2026-06-07,Kendall Wanderers,,,Newburyport FC,scheduled
Spring 2026,Over 30,1,North,2026-06-07,Cantona,,,Meadowlark FC,scheduled
Spring 2026,Over 30,1,North,2026-06-14,CDF Azzurri,,,Massachusetts United,scheduled
Spring 2026,Over 30,1,North,2026-06-14,Loco Gunners,,,Eastern FC,scheduled
Spring 2026,Over 30,1,North,2026-06-14,Newburyport FC,,,Cantona,scheduled
Spring 2026,Over 30,1,North,2026-06-14,Meadowlark FC,,,Kendall Wanderers,scheduled
Spring 2026,Over 30,1,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,North,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,North,TBD,Newburyport FC,,,Kendall Wanderers,scheduled
Spring 2026,Over 30,1,North,TBD,CDF Azzurri,,,Eastern FC,scheduled
Spring 2026,Over 30,1,South,2026-03-29,Southside F.C.,4,1,Taunton Eagles Soccer Club,
Spring 2026,Over 30,1,South,2026-04-05,Shake-Shake FC,2,6,Plymouth FC,
Spring 2026,Over 30,1,South,2026-04-12,Taunton Eagles Soccer Club,,,Os Amigos F.C.,scheduled
Spring 2026,Over 30,1,South,2026-04-12,Torres FC,,,Southside F.C.,scheduled
Spring 2026,Over 30,1,South,2026-04-12,Plymouth FC,,,Boston Nigeria Eagles FC,scheduled
Spring 2026,Over 30,1,South,2026-04-12,Boston Celtic FC,,,Shake-Shake FC,scheduled
Spring 2026,Over 30,1,South,2026-04-19,Os Amigos F.C.,,,Southside F.C.,scheduled
Spring 2026,Over 30,1,South,2026-04-19,Taunton Eagles Soccer Club,,,Torres FC,scheduled
Spring 2026,Over 30,1,South,2026-04-19,Boston Celtic FC,,,Plymouth FC,scheduled
Spring 2026,Over 30,1,South,2026-04-19,Shake-Shake FC,,,Boston Nigeria Eagles FC,scheduled
Spring 2026,Over 30,1,South,2026-04-26,Torres FC,,,Shake-Shake FC,scheduled
Spring 2026,Over 30,1,South,2026-04-26,Southside F.C.,,,Boston Celtic FC,scheduled
Spring 2026,Over 30,1,South,2026-04-26,Boston Nigeria Eagles FC,,,Taunton Eagles Soccer Club,scheduled
Spring 2026,Over 30,1,South,2026-04-26,Plymouth FC,,,Os Amigos F.C.,scheduled
Spring 2026,Over 30,1,South,2026-05-03,Boston Nigeria Eagles FC,,,Southside F.C.,scheduled
Spring 2026,Over 30,1,South,2026-05-03,Boston Celtic FC,,,Taunton Eagles Soccer Club,scheduled
Spring 2026,Over 30,1,South,2026-05-03,Shake-Shake FC,,,Os Amigos F.C.,scheduled
Spring 2026,Over 30,1,South,2026-05-03,Plymouth FC,,,Torres FC,scheduled
Spring 2026,Over 30,1,South,2026-05-10,Os Amigos F.C.,,,Boston Celtic FC,scheduled
Spring 2026,Over 30,1,South,2026-05-10,Torres FC,,,Boston Nigeria Eagles FC,scheduled
Spring 2026,Over 30,1,South,2026-05-10,Southside F.C.,,,Plymouth FC,scheduled
Spring 2026,Over 30,1,South,2026-05-10,Taunton Eagles Soccer Club,,,Shake-Shake FC,scheduled
Spring 2026,Over 30,1,South,2026-05-17,Os Amigos F.C.,,,Boston Nigeria Eagles FC,scheduled
Spring 2026,Over 30,1,South,2026-05-17,Taunton Eagles Soccer Club,,,Plymouth FC,scheduled
Spring 2026,Over 30,1,South,2026-05-17,Boston Celtic FC,,,Torres FC,scheduled
Spring 2026,Over 30,1,South,2026-05-17,Shake-Shake FC,,,Southside F.C.,scheduled
Spring 2026,Over 30,1,South,2026-05-31,Southside F.C.,,,Os Amigos F.C.,scheduled
Spring 2026,Over 30,1,South,2026-05-31,Torres FC,,,Taunton Eagles Soccer Club,scheduled
Spring 2026,Over 30,1,South,2026-05-31,Plymouth FC,,,Boston Celtic FC,scheduled
Spring 2026,Over 30,1,South,2026-05-31,Boston Nigeria Eagles FC,,,Shake-Shake FC,scheduled
Spring 2026,Over 30,1,South,2026-06-07,Torres FC,,,Os Amigos F.C.,scheduled
Spring 2026,Over 30,1,South,2026-06-07,Taunton Eagles Soccer Club,,,Southside F.C.,scheduled
Spring 2026,Over 30,1,South,2026-06-07,Boston Celtic FC,,,Boston Nigeria Eagles FC,scheduled
Spring 2026,Over 30,1,South,2026-06-07,Plymouth FC,,,Shake-Shake FC,scheduled
Spring 2026,Over 30,1,South,2026-06-14,Os Amigos F.C.,,,Taunton Eagles Soccer Club,scheduled
Spring 2026,Over 30,1,South,2026-06-14,Southside F.C.,,,Torres FC,scheduled
Spring 2026,Over 30,1,South,2026-06-14,Boston Nigeria Eagles FC,,,Plymouth FC,scheduled
Spring 2026,Over 30,1,South,2026-06-14,Shake-Shake FC,,,Boston Celtic FC,scheduled
Spring 2026,Over 30,1,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,South,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 30,1,South,TBD,Boston Nigeria Eagles FC,,,Boston Celtic FC,scheduled
Spring 2026,Over 30,1,South,TBD,Os Amigos F.C.,,,Torres FC,scheduled
Spring 2026,Over 30,2,North,2026-04-04,Irish Village,0,1,Lynnfield FC,
