season,age_group,date,home_team,away_team,home_goals,away_goals,elo_home_before,elo_away_before,elo_home_after,elo_away_after
Fall 1997,Over 40,1997-09-07,Stoughton CLC o-40,Nashoba Regionals,4,2,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Acton/Boxboro United,Brockton City FC,0,4,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Newton United Masters,Wayland Warriors,0,2,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Andover United Masters,Woburn Masters,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Lynnfield,Burlington Cougars,3,3,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Pepperell Masters,Wilmington United,0,1,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Merrimac AFC,North Reading II,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Natick Masters,Easton Masters,1,3,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Belmont Kickers,Holliston,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Shrewsbury,Sherborn Masters,1,3,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,North Reading Cobras,Westford over-40,0,1,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Groton/Dunstable,Nashua Absolute,3,2,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Melrose Good Guys,Andover Green Masters,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Newton Spurs,Needham Masters II,1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Acton-Boxboro United II,Westwood Masters,1,1,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Hopkinton Raiders,Mansfield United,1,2,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,Revere International,Bulington II,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-07,Danver Internationals,Billerica Rovers,1,1,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-07,Dracut,Harvard Veterans,2,5,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,Londonderry Pacers,Hollis Overlooked,3,1,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Pepperell,Wilmington Wildmen,4,3,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Westford,Andover Green,0,2,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,North Reading,"Merrimac, MA",1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,DePortivo ACA of Lowell,Woburn Strikers,5,4,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Windham,"Merrimack,NH",8,1,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-14,Nashoba Regionals,Acton/Boxboro United,3,5,1484.0,1484.0,1468.0,1500.0
Fall 1997,Over 40,1997-09-14,Wayland Warriors,Stoughton CLC o-40,0,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 40,1997-09-14,Brockton City FC,Newton United Masters,1,1,1516.0,1484.0,1514.5,1485.5
Fall 1997,Over 40,1997-09-14,Danvers International,Tewksbury Independent Crossover,2,1,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-14,Woburn Masters,Andover Gold,2,4,1484.0,1500,1468.7,1515.3
Fall 1997,Over 40,1997-09-14,North Andover Seniors,Andover United Masters,2,3,1500,1516.0,1484.7,1531.3
Fall 1997,Over 40,1997-09-14,Burlington Cougars,Pepperell Masters,4,0,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 40,1997-09-14,North Reading II,Lynnfield,1,1,1484.0,1500.0,1484.7,1499.3
Fall 1997,Over 40,1997-09-14,Wilmington United,Merrimac AFC,0,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 40,1997-09-14,Easton Masters,Belmont Kickers,6,0,1516.0,1500.0,1531.3,1484.7
Fall 1997,Over 40,1997-09-14,Sherborn Masters,Natick Masters,1,0,1516.0,1484.0,1530.5,1469.5
Fall 1997,Over 40,1997-09-14,Holliston,Shrewsbury,2,2,1500.0,1484.0,1499.3,1484.7
Fall 1997,Over 40,1997-09-14,Westford over-40,Groton/Dunstable,1,0,1516.0,1516.0,1532.0,1500.0
Fall 1997,Over 40,1997-09-14,Andover Green Masters,North Reading Cobras,2,1,1484.0,1484.0,1500.0,1468.0
Fall 1997,Over 40,1997-09-14,Nashua Absolute,Melrose Good Guys,6,3,1484.0,1516.0,1501.5,1498.5
Fall 1997,Over 40,1997-09-14,Needham Masters II,Acton-Boxboro United II,0,3,1516.0,1500.0,1499.3,1516.7
Fall 1997,Over 40,1997-09-14,Mansfield United,Newton Spurs,3,3,1516.0,1484.0,1514.5,1485.5
Fall 1997,Over 40,1997-09-14,Westwood Masters,Hopkinton Raiders,2,0,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 30,1997-09-14,Atletico North Chelmsford,Salem,0,3,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,Peabody Sporting Club,Seacoast FC,2,6,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,North Andover Hotspurs,PAC Lowell,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-14,Bulington II,Danver Internationals,0,3,1500.0,1500.0,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,Harvard Veterans,Revere International,4,5,1516.0,1500.0,1499.3,1516.7
Fall 1997,Over 30,1997-09-14,Billerica Rovers,Dracut,0,0,1500.0,1484.0,1499.3,1484.7
Fall 1997,Over 30,1997-09-14,Hollis Overlooked,Wilmington Wildmen,1,1,1484.0,1484.0,1484.0,1484.0
Fall 1997,Over 30,1997-09-14,Andover Green,Londonderry Pacers,2,4,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-14,Pepperell,Westford,0,2,1516.0,1484.0,1498.5,1501.5
Fall 1997,Over 30,1997-09-14,"Merrimac, MA",DePortivo ACA of Lowell,1,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-14,"Merrimack,NH",North Reading,0,1,1484.0,1484.0,1468.0,1500.0
Fall 1997,Over 30,1997-09-14,Woburn Strikers,Windham,1,3,1484.0,1516.0,1469.5,1530.5
Fall 1997,Over 48,1997-09-14,Tewksbury Grand Masters,N.Andover Grand Masters,1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-21,Newton United Masters,Nashoba Regionals,3,2,1485.5,1468.0,1500.7,1452.8
Fall 1997,Over 40,1997-09-21,Acton/Boxboro United,Stoughton CLC o-40,1,1,1500.0,1532.0,1501.5,1530.5
Fall 1997,Over 40,1997-09-21,Wayland Warriors,Brockton City FC,2,1,1500.0,1514.5,1516.7,1497.9
Fall 1997,Over 40,1997-09-21,Andover United Masters,Danvers International Crossover,3,2,1531.3,1500,1545.8,1485.4
Fall 1997,Over 40,1997-09-21,Merrimac AFC,Burlington Cougars,2,1,1532.0,1515.3,1547.2,1500.0
Fall 1997,Over 40,1997-09-21,Pepperell Masters,Lynnfield,0,2,1468.7,1499.3,1454.1,1513.9
Fall 1997,Over 40,1997-09-21,North Reading II,Wilmington United,2,0,1484.7,1500.0,1501.4,1483.3
Fall 1997,Over 40,1997-09-21,Shrewsbury,Easton Masters,0,3,1484.7,1531.3,1470.9,1545.1
Fall 1997,Over 40,1997-09-21,Belmont Kickers,Natick Masters,2,0,1484.7,1469.5,1500.0,1454.2
Fall 1997,Over 40,1997-09-21,Sherborn Masters,Holliston,2,3,1530.5,1499.3,1513.1,1516.7
Fall 1997,Over 40,1997-09-21,Melrose Good Guys,Westford over-40,1,3,1498.5,1532.0,1484.1,1546.5
Fall 1997,Over 40,1997-09-21,Groton/Dunstable,North Reading Cobras,1,1,1500.0,1468.0,1498.5,1469.5
Fall 1997,Over 40,1997-09-21,Andover Green Masters,Nashua Absolute,1,3,1500.0,1501.5,1484.1,1517.4
Fall 1997,Over 40,1997-09-21,Hopkinton Raiders,Needham Masters II,1,2,1468.7,1499.3,1454.1,1513.9
Fall 1997,Over 40,1997-09-21,Acton-Boxboro United II,Newton Spurs,4,3,1516.7,1485.5,1531.3,1470.9
Fall 1997,Over 40,1997-09-21,Mansfield United,Westwood Masters,0,0,1514.5,1515.3,1514.6,1515.2
Fall 1997,Over 30,1997-09-21,PAC Lowell,Atletico North Chelmsford,6,2,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 30,1997-09-21,Salem,Seacoast FC,1,2,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-21,Peabody Sporting Club,North Andover Hotspurs,2,2,1484.0,1500.0,1484.7,1499.3
Fall 1997,Over 30,1997-09-21,Dracut,Bulington II,1,2,1484.7,1484.0,1468.7,1500.0
Fall 1997,Over 30,1997-09-21,Danver Internationals,Revere International,3,2,1516.0,1516.7,1532.0,1500.7
Fall 1997,Over 30,1997-09-21,Harvard Veterans,Billerica Rovers,1,2,1499.3,1499.3,1483.3,1515.3
Fall 1997,Over 30,1997-09-21,Westford,Hollis Overlooked,4,0,1501.5,1484.0,1516.7,1468.8
Fall 1997,Over 30,1997-09-21,Wilmington Wildmen,Londonderry Pacers,2,3,1484.0,1532.0,1470.2,1545.8
Fall 1997,Over 30,1997-09-21,Andover Green,Pepperell,4,2,1500.0,1498.5,1515.9,1482.6
Fall 1997,Over 30,1997-09-21,Windham,"Merrimac, MA",3,2,1530.5,1500.0,1545.1,1485.4
Fall 1997,Over 30,1997-09-21,DePortivo ACA of Lowell,North Reading,5,0,1532.0,1500.0,1546.5,1485.5
Fall 1997,Over 30,1997-09-21,"Merrimack,NH",Woburn Strikers,3,6,1468.0,1469.5,1452.1,1485.4
Fall 1997,Over 40,1997-09-28,Nashoba Regionals,Brockton City FC,2,8,1452.8,1497.9,1438.9,1511.8
