"switch to mobile layout Spring 1997 Fall 1997 Spring 1998 Fall 1998 Spring 1999 Fall 1999 Spring 2000 Fall 2000 Spring 2001 Fall 2001 Spring 2002 Fall 2002 Spring 2003 Fall 2003 Spring 2004 Fall 2004 Spring 2005 Fall 2005 Spring 2006 Fall 2006 Spring 2007 Fall 2007 Spring 2008 Fall 2008 Spring 2009 Fall 2009 Spring 2010 Fall 2010 Spring 2011 Fall 2011 Spring 2012 Fall 2012 Spring 2013 Fall 2013 Spring 2014 Fall 2014 Spring 2015 Fall 2015 Spring 2016 Fall 2016 Spring 2017 Fall 2017 Spring 2018 Fall 2018 Spring 2019 Fall 2019 Spring 2020 Fall 2020 Spring 2021 Fall 2021 Spring 2022 Fall 2022 Spring 2023 Fall 2023 Spring 2024 Fall 2024 Spring 2025 Fall 2025 Spring 2026 Schedules and Standings Over 30 1n 1s 2n 2s 3n 3s Over 40 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s 6c Over 48 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s Over 55 1n 1s 2n 2s 3n 3s Over 62 1c 2c Over 68 1c 2c Find a team by name, city, field or division code (e.g. m5s): Main Home/News Team Registration League Calendar Soccer Events Standings The Playoff Picture For New Players Information Register for a Player Passcard Find a Team by age, division and/or home field Teams Seeking Players Waiting list of new teams Directories & Administrative League Constitution & Rules of Play Manager's Manual Home Field Map Browser Account management User Password Remember me: Create Account Password Recovery Change Password Change email list separator character mail help Statistics, etc Show scores recorded by division and date Show missing scores by division and date Show the history of a team",Schedules and Standings,Over 30 1n 1s 2n 2s 3n 3s,Over 40 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s 6c,Over 48 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s,Over 55 1n 1s 2n 2s 3n 3s,Over 62 1c 2c,Over 68 1c 2c,User,,Password,,Remember me:,,,"Results for this season are frozen Online changes to scores are no longer permitted
Please send updates to webmaster@othsl.org Over 55 Division 2 South (O55D2 South) STANDINGS Fall 2025 Sorted by Points Per Game Click on a team to get their schedule with start times, venues and contact information TEAM GP Games Played W Wins (3 points) L Losses or Forfeits T Ties (1 point) PTS Points CP Card Points GF Goals For (scored) GA Goals Against (allowed) GD Goal Differential PPG Points per game (used for tie breakers) Medway MOB 10 8 1 1 25 0 28 4 +24 2.50 Weston 10 7 0 3 24 8 21 8 +13 2.40 West Roxbury United 55 10 5 2 3 16* 11 21 11 +10 1.60 Ashland 10 4 4 2 14 8 12 14 -2 1.40 Irish Village 10 4 6 0 12 6 14 15 -1 1.20 AFC Medfield 10 3 5 2 9* 1 23 26 -3 0.90 Fernandes O55++ 10 1 8 1 2* 10 15 26 -11 0.20 F.C. Westwood 10 1 9 0 1* 1 5 35 -30 0.10 PTS = Standings Points  '*' indicates points were deducted for excess cards or forfeits NOTE: These standings assume that there are no additional cards or forfeits Ties cannot be broken correctly until all games between the teams involved have been played Cross Overs are not included Schedule & Results date Home team listed first 9/7 Medway MOB 3  --  0 Ashland # Irish Village 4  --  0 F.C. Westwood # West Roxbury United 55 4  --  0 AFC Medfield # Weston 5  --  1 Fernandes O55++ # 9/14 F.C. Westwood 0  --  2 Medway MOB # Ashland 0  --  1 Irish Village # Fernandes O55++ 0  --  3 West Roxbury United 55 # AFC Medfield 3  --  3 Weston # 9/21 Medway MOB 4  --  0 Irish Village # F.C. Westwood 0  --  3 Ashland # AFC Medfield 4  --  2 Fernandes O55++ # Weston 1  --  1 West Roxbury United 55 # 9/28 West Roxbury United 55 4  --  0 F.C. Westwood # Fernandes O55++ 1  --  1 Medway MOB # 10/5 West Roxbury United 55 4  --  2 Irish Village # AFC Medfield 7  --  1 F.C. Westwood # Weston 2  --  1 Medway MOB # Fernandes O55++ 1  --  3 Ashland # 10/12 Medway MOB 5  --  0 AFC Medfield # Ashland 0  --  0 West Roxbury United 55 # Irish Village 2  --  0 Fernandes O55++ # F.C. Westwood 1  --  4 Weston # 10/19 Medway MOB 5  --  1 West Roxbury United 55 # F.C. Westwood 0  --  7 Fernandes O55++ # AFC Medfield 2  --  4 Ashland # Weston 2  --  1 Irish Village # 10/26 Irish Village 0  --  2 Medway MOB # Ashland 2  -- forfeitNP lost by forfeit without card point penalties F.C. Westwood # Fernandes O55++ 3  --  5 AFC Medfield # West Roxbury United 55 0  --  1 Weston # 11/2 Ashland 0  --  3 Medway MOB # F.C. Westwood 3  --  0 Irish Village # AFC Medfield 2  --  2 West Roxbury United 55 # Fernandes O55++ 0  --  1 Weston # 11/6 Ashland 0  --  0 Weston # 11/9 Medway MOB 2  -- forfeit lost by forfeit F.C. Westwood # Irish Village 4  --  0 Ashland # West Roxbury United 55 2  -- forfeitNP lost by forfeit without card point penalties Fernandes O55++ # Weston 2  -- forfeit lost by forfeit AFC Medfield # 11/16 semi Medway MOB 2  --  1 DEA # NS Internationals 2  --  3 Weston # 11/23 final Medway MOB 0 (3)  --  0 (4) Weston # TBD Irish Village forfeitNP lost by forfeit without card point penalties -- forfeitNP lost by forfeit without card point penalties AFC Medfield # # indicates that this result is official venues in bold indicate the game will not be played at the standard place and time. Click on the game or one of the teams
in the standings for details. x- indicates the team is in another division y- indicates the team is in another division AND the game does not count in standings except for cards forfeitNP = ""Forfeit No Penalties"" and indicates that the forfeit does not incur the 2 standings points penalty",TEAM,GP Games Played,W Wins (3 points),L Losses or Forfeits,T Ties (1 point),PTS Points,CP Card Points,GF Goals For (scored),GA Goals Against (allowed),GD Goal Differential,PPG Points per game (used for tie breakers),Medway MOB,10,8,1,1,25,0,28,4,+24,2.50,Weston,10,7,0,3,24,8,21,8,+13,2.40,West Roxbury United 55,10,5,2,3,16*,11,21,11,+10,1.60,Ashland,10,4,4,2,14,8,12,14,-2,1.40,Irish Village,10,4,6,0,12,6,14,15,-1,1.20,AFC Medfield,10,3,5,2,9*,1,23,26,-3,0.90,Fernandes O55++,10,1,8,1,2*,10,15,26,-11,0.20,F.C. Westwood,10,1,9,0,1*,1,5,35,-30,0.10,date,Home team listed first,9/7,Medway MOB 3  --  0 Ashland #,Irish Village 4  --  0 F.C. Westwood #,West Roxbury United 55 4  --  0 AFC Medfield #,Weston 5  --  1 Fernandes O55++ #,9/14,F.C. Westwood 0  --  2 Medway MOB #,Ashland 0  --  1 Irish Village #,Fernandes O55++ 0  --  3 West Roxbury United 55 #,AFC Medfield 3  --  3 Weston #,9/21,Medway MOB 4  --  0 Irish Village #,F.C. Westwood 0  --  3 Ashland #,AFC Medfield 4  --  2 Fernandes O55++ #,Weston 1  --  1 West Roxbury United 55 #,9/28,West Roxbury United 55 4  --  0 F.C. Westwood #,Fernandes O55++ 1  --  1 Medway MOB #,10/5,West Roxbury United 55 4  --  2 Irish Village #,AFC Medfield 7  --  1 F.C. Westwood #,Weston 2  --  1 Medway MOB #,Fernandes O55++ 1  --  3 Ashland #,10/12,Medway MOB 5  --  0 AFC Medfield #,Ashland 0  --  0 West Roxbury United 55 #,Irish Village 2  --  0 Fernandes O55++ #,F.C. Westwood 1  --  4 Weston #,10/19,Medway MOB 5  --  1 West Roxbury United 55 #,F.C. Westwood 0  --  7 Fernandes O55++ #,AFC Medfield 2  --  4 Ashland #,Weston 2  --  1 Irish Village #,10/26,Irish Village 0  --  2 Medway MOB #,Ashland 2  -- forfeitNP lost by forfeit without card point penalties F.C. Westwood #,Fernandes O55++ 3  --  5 AFC Medfield #,West Roxbury United 55 0  --  1 Weston #,11/2,Ashland 0  --  3 Medway MOB #,F.C. Westwood 3  --  0 Irish Village #,AFC Medfield 2  --  2 West Roxbury United 55 #,Fernandes O55++ 0  --  1 Weston #,11/6,Ashland 0  --  0 Weston #,11/9,Medway MOB 2  -- forfeit lost by forfeit F.C. Westwood #,Irish Village 4  --  0 Ashland #,West Roxbury United 55 2  -- forfeitNP lost by forfeit without card point penalties Fernandes O55++ #,Weston 2  -- forfeit lost by forfeit AFC Medfield #,11/16 semi,Medway MOB 2  --  1 DEA #,NS Internationals 2  --  3 Weston #,11/23 final,Medway MOB 0 (3)  --  0 (4) Weston #,TBD,Irish Village forfeitNP lost by forfeit without card point penalties -- forfeitNP lost by forfeit without card point penalties AFC Medfield #,"# indicates that this result is official venues in bold indicate the game will not be played at the standard place and time. Click on the game or one of the teams
in the standings for details. x- indicates the team is in another division y- indicates the team is in another division AND the game does not count in standings except for cards forfeitNP = ""Forfeit No Penalties"" and indicates that the forfeit does not incur the 2 standings points penalty",options Printable View Internet Calendar Show all of Over 55 Division 2  (O55D2 ) Include Playoffs
Schedules and Standings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over 30 1n 1s 2n 2s 3n 3s,Over 40 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s 6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over 48 1n 1s 2n 2s 3n 3s 4n 4s 5n 5s,Over 55 1n 1s 2n 2s 3n 3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over 62 1c 2c,Over 68 1c 2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remember me:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM,GP Games Played,W Wins (3 points),L Losses or Forfeits,T Ties (1 point),PTS Points,CP Card Points,GF Goals For (scored),GA Goals Against (allowed),GD Goal Differential,PPG Points per game (used for tie breakers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medway MOB,10,8,1,1,25,0,28,4,+24,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
